<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
ROSN;0;20140425;101853;224.290000000;200
ROSN;0;20140425;101853;224.290000000;100
ROSN;0;20140425;101855;224.040000000;20
ROSN;0;20140425;101855;224.040000000;180
ROSN;0;20140425;101856;224.040000000;200
ROSN;0;20140425;101856;224.150000000;140
ROSN;0;20140425;101903;224.130000000;20
ROSN;0;20140425;101910;224.050000000;100
ROSN;0;20140425;101910;224.040000000;300
ROSN;0;20140425;101910;224.130000000;20
ROSN;0;20140425;101910;224.130000000;90
ROSN;0;20140425;101917;224.050000000;80
ROSN;0;20140425;101920;224.050000000;10
ROSN;0;20140425;101929;224.040000000;30
ROSN;0;20140425;101931;224.030000000;10
ROSN;0;20140425;101931;224.030000000;10
ROSN;0;20140425;101931;224.030000000;20
ROSN;0;20140425;101931;224.030000000;10
ROSN;0;20140425;101931;224.030000000;10
ROSN;0;20140425;101931;224.030000000;170
ROSN;0;20140425;101931;224.020000000;30
ROSN;0;20140425;101931;224.020000000;100
ROSN;0;20140425;101931;224.120000000;120
ROSN;0;20140425;101932;224.030000000;120
ROSN;0;20140425;101932;224.020000000;180
ROSN;0;20140425;101932;224.030000000;10
ROSN;0;20140425;101932;224.020000000;290
ROSN;0;20140425;101932;224.130000000;150
ROSN;0;20140425;101933;224.030000000;100
ROSN;0;20140425;101938;224.030000000;40
ROSN;0;20140425;101938;224.020000000;60
ROSN;0;20140425;101938;224.030000000;10
ROSN;0;20140425;101938;224.020000000;90
ROSN;0;20140425;101938;224.020000000;80
ROSN;0;20140425;101940;224.010000000;10
ROSN;0;20140425;101940;224.010000000;50
ROSN;0;20140425;101940;224.000000000;10
ROSN;0;20140425;101940;224.000000000;10
ROSN;0;20140425;101940;224.000000000;10
ROSN;0;20140425;101940;224.000000000;70
ROSN;0;20140425;101940;224.000000000;840
ROSN;0;20140425;101940;224.000000000;160
ROSN;0;20140425;101940;224.000000000;10
ROSN;0;20140425;101940;224.000000000;100
ROSN;0;20140425;101940;224.000000000;20
ROSN;0;20140425;101940;224.000000000;600
ROSN;0;20140425;101940;224.010000000;60
ROSN;0;20140425;101940;224.010000000;110
ROSN;0;20140425;101940;224.000000000;10
ROSN;0;20140425;101942;223.870000000;120
ROSN;0;20140425;101942;223.870000000;500
ROSN;0;20140425;101946;223.860000000;20
ROSN;0;20140425;101946;223.810000000;20
